,0
0,Colorado
1,Connecticut
2,Georgia
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Michigan
12,Minnesota
13,Mississippi
14,Montana
15,Nevada
16,New Hampshire
17,Ohio
18,Oregon
19,Pennsylvania
20,Rhode Island
21,Tennessee
22,Vermont
23,Virginia
24,West Virginia
25,Wisconsin
26,Wyoming
